Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added Time,Referrer Name,Task Owner
,"Semester:2,Grade:A,Rating:1",,,,,,,,,"Semester:1,Grade:C,Rating:1",,"Semester:1,Grade:F,Rating:3",,,,,"Semester:2,Grade:C,Rating:3",,,"Semester:1,Grade:A,Rating:1",,,,,,,,,,,10-Jan-2020 03:32:16,,"anil4frds@gmail.com"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Semester:1,Grade:C,Rating:5",,,10-Jan-2020 03:30:58,,"anil4frds@gmail.com"
"Semester:1,Grade:F","Semester:3,Grade:C",,"Semester:1,Grade:F","Semester:1,Grade:F","Semester:3,Grade:D","Semester:4,Grade:B","Semester:4,Grade:E",,"Semester:4,Grade:E",,,,,,"Semester:3,Grade:F",,,"Semester:4,Grade:E",,,,,,,,,"Semester:4,Grade:E",,"Semester:1,Grade:E",,09-Jan-2020 17:49:18,,"anil4frds@gmail.com"
,"Semester:2,Grade:C,Rating:1",,,,,,,"Semester:1,Grade:C,Rating:1","Semester:1,Grade:C,Rating:1","Semester:1,Grade:C,Rating:1",,,,,,,,,,"Semester:1,Grade:C,Rating:1",,,,,,,,,,,09-Jan-2020 17:25:20,,"anil4frds@gmail.com"
,,,,"Semester:1,Grade:C,Rating:3",,,,,"Semester:2,Grade:B,Rating:2","Semester:1,Grade:A,Rating:1",,"Semester:1,Grade:C,Rating:3",,,,"Semester:2,Grade:C,Rating:3","Semester:2,Grade:A,Rating:1",,,,,,,,,,,,,,09-Jan-2020 07:47:13,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
,,"Semester:2,Grade:B,Rating:2","Semester:2,Grade:C,Rating:4",,,,,,"Semester:1,Grade:B,Rating:2","Semester:1,Grade:B,Rating:2",,"Semester:2,Grade:F,Rating:5",,,,,"Semester:1,Grade:B,Rating:2","Semester:2,Grade:C,Rating:3",,,,,,,,,"Semester:2,Grade:B,Rating:2","Semester:2,Grade:F,Rating:5",,,09-Jan-2020 07:43:42,,"anil4frds@gmail.com"
,"Semester:2,Grade:B","Semester:2,Grade:C",,"Semester:2,Grade:F",,"Semester:3,Grade:A",,,,,,,,,,,,,,,,,,,,,,,,,09-Jan-2020 06:42:20,,"anil4frds@gmail.com"
,,,,,,,"Semester:1,Grade:C,Rating:3",,,,,,,,,,"Semester:1,Grade:A,Rating:1",,,,,,,,,,,,,,09-Jan-2020 03:06:21,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
,,,,,,,,,"Semester:2,Rating:2",,,,,,,,"Semester:1,Grade:A,Rating:2","Semester:1,Grade:B,Rating:1",,,,,,,,,,,,,09-Jan-2020 03:02:44,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
,,,,,"Semester:1,Rating:1",,,,"Semester:1,Rating:2",,,,,,"Semester:1,Rating:3",,,,,"Semester:1,Rating:1",,,,,,,,,,,09-Jan-2020 02:58:25,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
,,,,,,,,,,,,"Semester:1,Grade:F,Rating:5",,"Semester:1,Grade:D,Rating:5","Semester:1,Grade:D,Rating:3","Semester:2,Grade:C,Rating:2",,,,,,,,,"Semester:2,Grade:E,Rating:4",,,,,,09-Jan-2020 02:29:30,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
,,,,,,,,,,"Semester:2,Grade:C,Rating:1",,"Semester:1,Grade:F,Rating:5",,"Semester:2,Grade:C,Rating:5","Semester:1,Grade:A,Rating:3","Semester:2,Grade:A,Rating:2",,,,,,,,,"Semester:2,Grade:B,Rating:4",,,"Semester:2,Grade:A,Rating:1",,,09-Jan-2020 02:23:37,,"anil4frds@gmail.com"
,,,,,,,,,"Semester:1,Grade:B,Rating:1",,,,,"Semester:1,Grade:C,Rating:5","Semester:1,Grade:A,Rating:1","Semester:2,Grade:A,Rating:1",,,,,,,,,"Semester:2,Grade:C,Rating:5",,,"Semester:2,Grade:B,Rating:3",,,09-Jan-2020 02:21:51,,"anil4frds@gmail.com"
,,,,,,,,,"Semester:1,Grade:D",,,,,"Semester:2,Grade:C","Semester:1,Grade:D","Semester:2,Grade:D",,,,"Semester:1,Grade:D",,,,,,,"Semester:2,Grade:E",,,,09-Jan-2020 02:20:43,,"anil4frds@gmail.com"
,"Semester:2,Grade:D,Rating:2",,,,,,,"Semester:2,Grade:C,Rating:2",,"Semester:1,Grade:C,Rating:2",,"Semester:1,Grade:D,Rating:4",,,,,"Semester:2,Grade:B,Rating:3",,,,,,,,,,,,,,09-Jan-2020 02:19:13,,"anil4frds@gmail.com"
,"Semester:Other,Grade:C,Rating:3",,,,,"Semester:Other,Grade:D,Rating:4","Semester:Other,Grade:D,Rating:5",,"Semester:Other,Grade:D,Rating:4","Semester:4,Grade:C,Rating:2",,,,"Semester:4,Grade:C,Rating:3",,"Semester:Other,Grade:D,Rating:4","Semester:Other,Grade:D,Rating:4","Semester:Other,Grade:C,Rating:4",,,,,,,,"Semester:Other,Grade:D,Rating:5",,"Semester:Other,Grade:C,Rating:4",,,09-Jan-2020 02:00:41,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
"Semester:2,Grade:C,Rating:1","Semester:2,Grade:B,Rating:3","Semester:3,Grade:C,Rating:1","Semester:3,Grade:C,Rating:2","Semester:3,Grade:C,Rating:3","Semester:2,Grade:E,Rating:5",,,,,,,,,,,"Semester:1,Grade:C,Rating:4",,"Semester:1,Grade:C,Rating:1",,,,,,,,,,,,,09-Jan-2020 01:54:00,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
,"Semester:4,Grade:C,Rating:1",,,,,"Semester:2,Grade:C,Rating:5",,,,,,,,,"Semester:3,Grade:D,Rating:5",,,,,,,,,,,,"Semester:3,Grade:B,Rating:2",,,,09-Jan-2020 01:49:40,,"anil4frds@gmail.com"
Semester:Other,,,,,,,,,,,,,,,,"Semester:1,Grade:C,Rating:4",,"Semester:1,Grade:C,Rating:1",,,,,,,,,,,,,09-Jan-2020 01:49:21,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
,,"Semester:2,Grade:C,Rating:2",,,,,,,,,,,,,"Semester:3,Grade:B,Rating:2",,,,,,,,,"Semester:4,Grade:B,Rating:4",,,,"Semester:Other,Grade:B,Rating:1",,,09-Jan-2020 01:46:15,,"anil4frds@gmail.com"
,"Semester:3,Grade:B,Rating:1",,,,,"Semester:2,Grade:B,Rating:3","Semester:1,Grade:F,Rating:5",,,"Semester:3,Grade:F,Rating:5",,,,,,"Semester:2,Grade:B,Rating:2",,"Semester:2,Grade:B,Rating:1",,,,,,,,,,,,,09-Jan-2020 01:39:16,,"anil4frds@gmail.com"
,"Semester:3,Grade:B,Rating:1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09-Jan-2020 01:34:49,,"anil4frds@gmail.com"
,"Semester:1,Grade:D,Rating:2",,,,,,,,,,,,,,,,,,,,,,,,,,"Semester:1,Grade:D,Rating:1",,,,09-Jan-2020 00:34:35,,"anil4frds@gmail.com"
,,,,,Grade:D,"Semester:2,Grade:D,Rating:1",,,"Semester:1,Grade:D,Rating:2","Semester:1,Grade:B,Rating:1",,"Semester:1,Grade:E,Rating:3",,"Semester:1,Grade:D,Rating:3","Semester:1,Grade:D,Rating:3","Semester:2,Grade:B,Rating:2","Semester:2,Grade:A,Rating:2","Semester:2,Grade:D,Rating:3",,,,,,,,,,"Semester:2,Grade:D,Rating:2",,,08-Jan-2020 15:17:00,,"anil4frds@gmail.com"
,,"Semester:3,Grade:C",,,,,,,"Semester:2,Grade:B","Semester:3,Grade:C",,,,"Semester:3,Grade:C","Semester:3,Grade:C","Semester:1,Grade:A",,"Semester:3,Grade:C",,,,,,,,,"Semester:2,Grade:B",,,,08-Jan-2020 11:57:12,,"anil4frds@gmail.com"
